City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
188,Bathsheba,BB,80.6,13.22,-59.52,shower rain,Atlantis Hotel
189,Axim,GH,79.27,4.87,-2.24,light rain,AXIM BEACH RESORT AND SPA
195,Beloha,MG,83.7,-25.17,45.05,clear sky,
196,Kinango,KE,82.4,-4.14,39.32,scattered clouds,Moonlit Inn Kinango
197,Bintulu,MY,77.0,3.17,113.03,light rain,900 Boutique INN
198,La Asuncion,VE,78.8,11.03,-63.86,clear sky,Colinas de Matasiete
201,Galveston,US,84.2,29.37,-94.97,clear sky,Comfort Inn & Suites Texas City
202,Agde,FR,86.0,43.31,3.48,broken clouds,CAPAO Beach Hôtel
203,Padang,ID,82.27,-0.95,100.35,light rain,Mercure Padang
204,Mogadishu,SO,82.4,2.04,45.34,broken clouds,Hotel Juba
205,Pekan,MY,84.2,3.48,103.4,few clouds,Pekan Budget Hotel
207,Kantang,TH,78.8,7.41,99.52,few clouds,Reng Ta Chai Boutique HomeStay
211,Ranong,TH,84.2,9.97,98.63,few clouds,Tinidee Hotel@Ranong
215,Bambanglipuro,ID,77.77,-7.95,110.28,overcast clouds,Puri Brata
216,Nara,JP,84.2,34.69,135.8,broken clouds,Guesthouse Nara Komachi
218,Finschhafen,PG,77.97,-6.6,147.87,moderate rain,Cossam Guest House
220,Lang Suan,TH,84.2,9.95,99.08,few clouds,Chum Tong Hotel
221,Port Moresby,PG,77.13,-9.44,147.18,light rain,Lamana Hotel
222,Celestun,MX,78.35,20.87,-90.4,clear sky,Posada Lilia
224,Kayasula,RU,87.6,44.33,45.0,broken clouds,
225,Luangwa,ZM,84.31,-15.62,30.42,broken clouds,Gerasimos Safari Lodge
227,Kahului,US,80.6,20.89,-156.47,smoke,Maui Seaside Hotel
233,Goma,CD,71.6,-1.68,29.22,squalls,"Goma, CENTRE D'ACCUEIL CARITAS"
234,Mulatupo,PA,77.23,8.95,-77.77,overcast clouds,
237,Zhigansk,RU,70.72,66.77,123.37,broken clouds,Gostinichnyy Kompleks Aylgy
239,Nagato,JP,75.2,34.38,131.2,broken clouds,いそう庵
241,Natal,BR,73.4,-5.79,-35.21,few clouds,Villa Park Hotel | Natal
243,Nampula,MZ,78.8,-15.12,39.27,scattered clouds,Tacab Residencial
