City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-07-07 17:23:32,-33.7,-53.46,53.31,63,70,12.57
1,Mocuba,MZ,2020-07-07 17:23:32,-16.84,36.99,66.2,81,9,5.61
2,Maniitsoq,GL,2020-07-07 17:23:33,65.42,-52.9,39.16,95,100,4.45
3,Butaritari,KI,2020-07-07 17:23:33,3.07,172.79,82.71,76,24,11.3
4,Ushuaia,AR,2020-07-07 17:23:33,-54.8,-68.3,39.2,55,75,17.22
5,Kiruna,SE,2020-07-07 17:23:33,67.86,20.23,55.4,58,69,11.41
6,Pingdu,CN,2020-07-07 17:23:33,36.78,119.95,73.4,88,40,4.47
7,Outjo,NA,2020-07-07 17:23:33,-20.12,16.15,54.18,45,0,1.45
8,Mataura,NZ,2020-07-07 17:23:34,-46.19,168.86,39.0,83,66,3.0
9,Torbay,CA,2020-07-07 17:23:34,47.67,-52.73,63.0,62,20,10.29
10,Kapaa,US,2020-07-07 17:23:06,22.08,-159.32,78.8,78,75,12.75
11,Boizenburg,DE,2020-07-07 17:23:34,53.38,10.72,57.0,91,99,1.01
12,Lebu,CL,2020-07-07 17:23:34,-37.62,-73.65,49.26,79,96,24.18
13,Ushtobe,KZ,2020-07-07 17:23:34,45.25,77.98,73.49,41,19,9.93
14,Son La,VN,2020-07-07 17:19:11,21.32,103.9,74.62,81,69,1.52
15,Sao Filipe,CV,2020-07-07 17:23:35,14.9,-24.5,74.93,82,36,7.05
16,Dwarka,IN,2020-07-07 17:23:35,22.24,68.97,82.72,83,96,26.06
17,Kosa,RU,2020-07-07 17:23:35,59.94,55.0,72.5,74,4,4.45
18,Arraial Do Cabo,BR,2020-07-07 17:23:35,-22.97,-42.03,80.6,73,0,18.34
19,Avarua,CK,2020-07-07 17:23:35,-21.21,-159.78,73.4,73,76,8.05
20,Auki,SB,2020-07-07 17:23:35,-8.77,160.7,77.77,86,67,3.13
21,Hermanus,ZA,2020-07-07 17:23:35,-34.42,19.23,46.99,87,0,1.01
22,Cape Town,ZA,2020-07-07 17:21:36,-33.93,18.42,55.0,66,0,8.05
23,Porto Walter,BR,2020-07-07 17:23:36,-8.27,-72.74,81.7,85,84,3.56
24,Nador,MA,2020-07-07 17:19:55,35.17,-2.93,89.6,54,0,5.82
25,Maragogi,BR,2020-07-07 17:22:06,-9.01,-35.22,78.67,77,21,9.24
26,Atuona,PF,2020-07-07 17:23:36,-9.8,-139.03,79.2,76,37,11.95
27,Carnarvon,AU,2020-07-07 17:23:36,-24.87,113.63,62.6,77,3,14.99
28,Saint George,US,2020-07-07 17:21:25,37.1,-113.58,96.01,8,1,5.82
29,Hilo,US,2020-07-07 17:22:01,19.73,-155.09,73.4,83,90,6.93
30,Busselton,AU,2020-07-07 17:23:36,-33.65,115.33,46.99,98,18,11.3
31,Bambous Virieux,MU,2020-07-07 17:23:37,-20.34,57.76,72.0,94,75,10.29
32,Punta Arenas,CL,2020-07-07 17:23:37,-53.15,-70.92,32.0,93,75,19.46
33,Port Hardy,CA,2020-07-07 17:23:37,50.7,-127.42,60.8,72,75,4.7
34,Kathu,TH,2020-07-07 17:23:37,7.92,98.33,84.0,94,40,2.24
35,Bayanday,RU,2020-07-07 17:23:37,53.07,105.51,60.84,94,90,4.16
36,Rikitea,PF,2020-07-07 17:23:04,-23.12,-134.97,70.48,81,95,11.54
37,Olafsvik,IS,2020-07-07 17:23:37,64.89,-23.71,51.17,74,84,11.9
38,Saint-Augustin,CA,2020-07-07 17:23:38,51.23,-58.65,75.0,40,65,12.93
39,Ancud,CL,2020-07-07 17:23:38,-41.87,-73.82,43.0,93,90,11.41
40,Puerto Ayora,EC,2020-07-07 17:23:38,-0.74,-90.35,73.0,84,98,4.0
41,Pochutla,MX,2020-07-07 17:23:38,15.74,-96.47,87.8,58,75,17.22
42,Honningsvag,NO,2020-07-07 17:23:38,70.98,25.97,51.8,76,75,19.46
43,Ascension,US,2020-07-07 17:23:38,30.22,-90.9,95.0,78,97,5.82
44,Gnjilane,XK,2020-07-07 17:23:38,42.46,21.47,61.0,63,75,13.87
45,Nuuk,GL,2020-07-07 17:23:39,64.18,-51.72,41.0,100,75,11.41
46,Nikolskoye,RU,2020-07-07 17:23:39,59.7,30.79,66.2,55,40,8.95
47,Ponta Do Sol,PT,2020-07-07 17:23:39,32.67,-17.1,77.0,71,3,3.87
48,Barguzin,RU,2020-07-07 17:23:39,53.62,109.62,62.46,75,49,5.06
49,Jinchang,CN,2020-07-07 17:23:39,38.5,102.17,81.34,27,88,14.32
50,Port Alfred,ZA,2020-07-07 17:23:39,-33.59,26.89,57.99,73,100,1.99
51,Burnie,AU,2020-07-07 17:23:39,-41.07,145.92,42.01,72,66,4.0
52,Jamestown,US,2020-07-07 17:22:18,42.1,-79.24,84.2,51,20,4.7
53,Kapoeta,SS,2020-07-07 17:23:40,4.77,33.59,77.32,71,94,4.21
54,Katsuura,JP,2020-07-07 17:23:40,35.13,140.3,79.0,93,100,5.99
55,Vaini,TO,2020-07-07 17:23:40,-21.2,-175.2,75.2,94,90,2.24
56,Beisfjord,NO,2020-07-07 17:23:40,68.38,17.6,55.4,66,40,16.11
57,Cockburn Town,TC,2020-07-07 17:23:40,21.46,-71.14,86.0,70,40,11.41
58,Itaituba,BR,2020-07-07 17:23:40,-4.28,-55.98,93.2,52,20,8.05
59,Mar Del Plata,AR,2020-07-07 17:23:19,-38.0,-57.56,46.99,65,75,6.93
